"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","d11fe8b805303238bfc9d378883940ab",24.4111044087728,-2.09395852599581,0.618581740212047,-3.3850959216449,0.000711533851801803,0.00582685435501599
"2","3d84881de11eb48fd3dd04f2ce2711c2",112.47033896979,-3.30737421586798,0.630098622455707,-5.24897864873601,1.52944799032553e-07,7.97352218956374e-06
"3","680f5faafe1338087fa8f59d8245bab9",45.6576965035359,-3.24635402311041,0.67417556393165,-4.8152947048071,1.46982805736254e-06,4.2570575587315e-05
"4","30de431749aa5fda2a8dfc9240d6922f",18.9913585432549,-3.4103910137222,0.663536036910618,-5.13972237227802,2.75144696426818e-07,1.19535084780984e-05
"5","7b887f522cdc738ef1312fafe06b6b67",13.947907214079,-3.16183545221494,0.577714437175908,-5.47300750812325,4.42461358716299e-08,2.88337318763455e-06
"6","16db07d58c93314acce0dbe03f9b40dc",41.7466280297981,-4.13449658638513,0.697155089283743,-5.93052629169345,3.01965224562883e-09,2.95171007010218e-07
"7","8a480b2b73e5333ce50a5280a7edff44",4.80646535528947,-2.00198880365928,0.531230729163697,-3.76858621640912,0.00016417478009324,0.00184572465189884
"8","2b235e73eae54e3f9c315b0bdb501f49",29.5558935746657,-2.16477674347437,0.606566706947195,-3.56890135690026,0.000358481357127919,0.00337749905149437
"9","4f2da86803fc9bf955f89bc73ea42769",27.589533048896,-3.02317918379044,0.597768382081758,-5.05744243826023,4.24916626262665e-07,1.51038546244275e-05
"10","4a2d9df8a3cc4205f7c4143e3f2e83a9",38.33205586331,-3.68796769497352,0.619973560286758,-5.94858866766466,2.70464363443449e-09,2.95171007010218e-07
"11","a3db5c8345a2da8495f8316387b5cd7e",3.87900051990541,-2.00082957537995,0.533856693177076,-3.74787766258517,0.000178337194879989,0.00189158262590312
"12","a8dfc6bb6906a43b2a394e01fe30e75c",8.61522565193234,-3.16190282213676,0.611071768526087,-5.17435591855815,2.2869850889082e-07,1.05201314089777e-05
"13","14b207162ffdcca0e03751ba21037259",4.49187209319552,-2.21492448011142,0.544894965827935,-4.06486500888474,4.8060270291788e-05,0.000722752526311119
"14","d46c70e9cf1e2010dc7f54d1db026b66",11.2784198354784,-3.55241284065813,0.662277710004334,-5.36393236099533,8.14294068372649e-08,4.89829201128778e-06
"15","860e4043608db0eabd03f81b5821bb54",24.6034022081776,-3.04516864448326,0.658195689607335,-4.62653993723347,3.71825195574526e-06,8.81113039209938e-05
"16","2f8d36f3ea88437badfe1af11cd00533",4.80642124890864,-2.31358407729501,0.57539009547437,-4.02089659779009,5.79770514944483e-05,0.000824328259430156
"17","f485ccb9f008af28eb8271e5fefaa15a",16.132785647925,-2.34466462763314,0.625450314330215,-3.74876240991902,0.000177709336324711,0.00189158262590312
"18","317cafcdf420b58fc3092f3e8462855c",4.83850553843775,-2.32327425292465,0.57385184664863,-4.0485610815629,5.15334856054367e-05,0.000760361995159462
"19","dbb56d45838a3178a7b631fea18d8317",5.32819618418265,-2.46368995704723,0.584482733204289,-4.21516294166746,2.49597913846659e-05,0.000443603565063835
